,id_x,port,portId,item,itemId,yearlyItemUnits,yearlyItemUnitsSpread,timeAtSite,proportionToHere,name,id_y,type,note,lat,lon,X,Y
102,42,Auckland Airport,16,Returning Residents,6,2016544.0,10%,"Normal(0.02,0.001)",0.721476452,Auckland Airport,16,air,,-37.00866071,174.7936914,1759584.749,5902662.972
106,43,Christchurch Airport,17,Returning Residents,6,413104.0,10%,"Normal(0.02,0.001)",0.147799804,Christchurch Airport,17,air,,-43.48513739,172.5344032,1562349.885,5185203.955
109,51,Wellington Airport,25,Returning Residents,6,185328.0,10%,"Normal(0.02,0.001)",0.066306407,Wellington Airport,25,air,,-41.32626913,174.8042443,1750992.223,5423452.774
111,44,Dunedin Airport,18,Returning Residents,6,15360.0,10%,"Normal(0.02,0.001)",0.005495481,Dunedin Airport,18,air,,-45.92695315,170.2000878,1382913.891,4910256.105
113,45,Hawke's Bay Airport,19,Returning Residents,6,,10%,"Normal(0.02,0.001)",0.0,Hawke's Bay Airport,19,air,,-39.47348788,176.8666761,1932628.129,5623536.555
115,46,Invercargill Airport,20,Returning Residents,6,,10%,"Normal(0.02,0.001)",0.0,Invercargill Airport,20,air,,-46.41477173,168.319112,1240285.372,4849211.783
117,47,Nelson Airport,21,Returning Residents,6,,10%,"Normal(0.02,0.001)",0.0,Nelson Airport,21,air,,-41.2950365,173.2238337,1618740.57,5428466.089
119,48,Palmerston North Airport,22,Returning Residents,6,,10%,"Normal(0.02,0.001)",0.0,Palmerston North Airport,22,air,,-40.32239456,175.6230933,1822862.705,5533156.76
121,49,Queenstown Airport,23,Returning Residents,6,159376.0,10%,"Normal(0.02,0.001)",0.057021335,Queenstown Airport,23,air,,-45.02010881,168.7390404,1264288.652,5005977.622
123,50,Rotorua Airport,24,Returning Residents,6,5312.0,10%,"Normal(0.02,0.001)",0.00190052,Rotorua Airport,24,air,,-38.10890345,176.3166468,1890800.622,5776904.093
125,52,Whenuapai Airport,26,Returning Residents,6,,10%,"Normal(0.02,0.001)",0.0,Whenuapai Airport,26,air,,-36.78828465,174.6305287,1745484.879,5927373.583
